Rank,Release Group,Worldwide,Domestic,%,Foreign,%
74,Joy,"$101,134,059","$56,451,232",55.8%,"$44,682,827",44.2%
75,Black Mass,"$99,775,678","$62,575,678",62.7%,"$37,200,000",37.3%
76,Spotlight,"$98,690,254","$45,055,776",45.7%,"$53,634,478",54.3%
77,Devil and Angel,"$98,599,942","$131,058",0.1%,"$98,468,884",99.9%
78,The Visit,"$98,450,062","$65,206,105",66.2%,"$33,243,957",33.8%
79,The Little Prince,"$97,571,250","$1,339,152",1.4%,"$96,232,098",98.6%
80,Assassination,"$96,119,773","$1,904,682",2%,"$94,215,091",98%
81,Poltergeist,"$95,437,994","$47,425,125",49.7%,"$48,012,869",50.3%
82,Veteran,"$94,393,020","$1,200,627",1.3%,"$93,192,393",98.7%
83,In the Heart of the Sea,"$93,920,758","$25,020,758",26.6%,"$68,900,000",73.4%
84,Kill Zone 2,"$93,638,358","$11,998",<0.1%,"$93,626,360",100%
85,Southpaw,"$91,970,827","$52,421,953",57%,"$39,548,874",43%
86,The Second Best Exotic Marigold Hotel,"$85,978,266","$33,078,266",38.5%,"$52,900,000",61.5%
87,Paper Towns,"$85,512,300","$32,000,304",37.4%,"$53,511,996",62.6%
88,Sicario,"$84,872,444","$46,889,293",55.2%,"$37,983,151",44.8%
89,Our Times,"$83,867,493",-,-,"$83,867,493",100%
90,Suck Me Shakespeer 2,"$83,027,924",-,-,"$83,027,924",100%
91,Hitman: Agent 47,"$82,347,656","$22,467,450",27.3%,"$59,880,206",72.7%
92,Wolf Warrior,"$81,411,331",-,-,"$81,411,331",100%
93,Go Away Mr. Tumor,"$80,606,893","$286,639",0.4%,"$80,320,254",99.6%
94,The Wedding Ringer,"$79,799,880","$64,460,211",80.8%,"$15,339,669",19.2%
95,Paranormal Activity: The Ghost Dimension,"$78,903,124","$18,300,124",23.2%,"$60,603,000",76.8%
96,The Left Ear,"$78,015,473",-,-,"$78,015,473",100%
97,Tiny Times 4.0,"$77,750,000",-,-,"$77,750,000",100%
98,Bajrangi Bhaijaan,"$75,547,184","$8,178,001",10.8%,"$67,369,183",89.2%
99,War Room,"$73,267,874","$67,790,117",92.5%,"$5,477,757",7.5%
100,The Transporter Refueled,"$72,629,670","$16,029,670",22.1%,"$56,600,000",77.9%
101,Run All Night,"$71,561,644","$26,461,644",37%,"$45,100,000",63%
102,13 Hours,"$69,411,370","$52,853,219",76.1%,"$16,558,151",23.9%
103,Running Man,"$68,782,475","$310,978",0.5%,"$68,471,497",99.5%
104,A Violent Prosecutor,"$66,736,633",-,-,"$66,736,633",100%
105,The Age of Adaline,"$65,663,276","$42,629,776",64.9%,"$23,033,500",35.1%
106,Monk Comes Down the Mountain,"$64,455,686",-,-,"$64,455,686",100%
107,Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947","$165,428",0.3%,"$64,160,519",99.7%
108,The Danish Girl,"$64,191,523","$11,114,018",17.3%,"$53,077,505",82.7%
109,The Boy,"$64,188,367","$35,819,556",55.8%,"$28,368,811",44.2%
110,The Hundred Regiments Offensive,"$63,230,000",-,-,"$63,230,000",100%
111,The Longest Ride,"$62,944,815","$37,446,117",59.5%,"$25,498,698",40.5%
112,Unfriended,"$62,882,090","$32,482,090",51.7%,"$30,400,000",48.3%
113,Brooklyn,"$62,076,141","$38,322,743",61.7%,"$23,753,398",38.3%
114,"Dragon Ball Z: Resurrection ""F""","$61,768,190","$8,008,363",13%,"$53,759,827",87%
115,Woman in Gold,"$61,619,773","$33,307,793",54.1%,"$28,311,980",45.9%
116,Krampus,"$61,548,707","$42,725,475",69.4%,"$18,823,232",30.6%
117,The Perfect Guy,"$60,273,173","$57,027,435",94.6%,"$3,245,738",5.4%
118,Forever Young,"$59,981,902","$149,761",0.2%,"$59,832,141",99.8%
119,Miss Granny,"$59,396,311","$234,573",0.4%,"$59,161,738",99.6%
120,The Gift,"$58,978,653","$43,787,265",74.2%,"$15,191,388",25.8%
121,You Are My Sunshine,"$56,640,000",-,-,"$56,640,000",100%
122,No Escape,"$54,418,872","$27,288,872",50.1%,"$27,130,000",49.9%
123,Sinister 2,"$53,329,150","$27,740,955",52%,"$25,588,195",48%
124,Detective Conan: Sunflowers of Inferno,"$52,920,296",-,-,"$52,920,296",100%
125,Prem Ratan Dhan Payo,"$52,715,771","$4,364,639",8.3%,"$48,351,132",91.7%
126,The Boy Next Door,"$52,425,855","$35,423,380",67.6%,"$17,002,475",32.4%
127,The Night Before,"$52,395,996","$43,047,372",82.2%,"$9,348,624",17.8%
128,Hollywood Adventures,"$52,265,070",-,-,"$52,265,070",100%
129,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$51,838,845","$257,343",0.5%,"$51,581,502",99.5%
130,Hot Pursuit,"$51,380,201","$34,580,201",67.3%,"$16,800,000",32.7%
131,The Himalayas,"$50,544,493","$696,717",1.4%,"$49,847,776",98.6%
132,The Boy and the Beast,"$49,714,378","$490,643",1%,"$49,223,735",99%
133,Surprise,"$49,567,466",-,-,"$49,567,466",100%
134,Entourage,"$49,263,404","$32,363,404",65.7%,"$16,900,000",34.3%
135,The Woman in Black 2: Angel of Death,"$48,854,305","$26,501,323",54.2%,"$22,352,982",45.8%
136,Concussion,"$48,623,572","$34,542,474",71%,"$14,081,098",29%
137,Inside Men,"$47,616,503",-,-,"$47,616,503",100%
138,Lie ri zhuo xin,"$47,600,000",-,-,"$47,600,000",100%
139,Boonie Bears Winter,"$47,581,416",-,-,"$47,581,416",100%
140,Mortdecai,"$47,275,695","$7,696,134",16.3%,"$39,579,561",83.7%
141,Let's Get Married,"$45,972,724","$462,918",1%,"$45,509,806",99%
142,Somewhere Only We Know,"$45,737,711","$482,341",1.1%,"$45,255,370",98.9%
143,"McFarland, USA","$45,710,059","$44,482,410",97.3%,"$1,227,649",2.7%
144,Hero,"$45,565,534","$88,675",0.2%,"$45,476,859",99.8%
145,Still Alice,"$44,779,195","$18,754,371",41.9%,"$26,024,824",58.1%
146,Max,"$43,967,255","$42,656,255",97%,"$1,311,000",3%
147,The DUFF,"$43,709,744","$34,030,343",77.9%,"$9,679,401",22.1%
148,Legend,"$42,972,994","$1,872,994",4.4%,"$41,100,000",95.6%
149,The Gallows,"$42,964,410","$22,764,410",53%,"$20,200,000",47%
150,Love the Coopers,"$42,426,912","$26,302,731",62%,"$16,124,181",38%
151,The Throne,"$42,165,755",-,-,"$42,165,755",100%
152,The Lady in the Van,"$41,387,687","$10,021,175",24.2%,"$31,366,512",75.8%
153,Ricki and the Flash,"$41,325,328","$26,822,144",64.9%,"$14,503,184",35.1%
154,Ocho apellidos catalanes,"$40,591,862",-,-,"$40,591,862",100%
155,Carol,"$40,272,135","$12,711,491",31.6%,"$27,560,644",68.4%
156,Northern Limit Line,"$40,034,677","$337,907",0.8%,"$39,696,770",99.2%
157,Ex-Files 2: The Backup Strikes Back,"$39,108,291",-,-,"$39,108,291",100%
158,Criminal,"$38,803,993","$14,708,696",37.9%,"$24,095,297",62.1%
159,Boruto: Naruto The Movie,"$38,362,448","$919,651",2.4%,"$37,442,797",97.6%
160,The Lazarus Effect,"$38,356,892","$25,801,570",67.3%,"$12,555,322",32.7%
161,Chek dou,"$37,938,005",-,-,"$37,938,005",100%
162,A Walk in the Woods,"$37,461,274","$29,504,281",78.8%,"$7,956,993",21.2%
163,Ex Machina,"$36,869,414","$25,442,958",69%,"$11,426,456",31%
164,Burnt,"$36,606,743","$13,651,946",37.3%,"$22,954,797",62.7%
165,The Priests,"$36,577,134","$185,093",0.5%,"$36,392,041",99.5%
166,The New Adventures of Aladdin,"$35,771,820",-,-,"$35,771,820",100%
167,Heidi,"$35,755,670",-,-,"$35,755,670",100%
168,Room,"$35,401,758","$14,677,654",41.5%,"$20,724,104",58.5%
169,Lost and Love,"$34,930,177","$188,817",0.5%,"$34,741,360",99.5%
170,Secret in Their Eyes,"$34,854,990","$20,180,155",57.9%,"$14,674,835",42.1%
171,"Dad, Where Are We Going 2","$34,840,000",-,-,"$34,840,000",100%
172,Doraemon: Nobita and the Space Heroes,"$34,811,747",-,-,"$34,811,747",100%
173,Steve Jobs,"$34,441,873","$17,766,658",51.6%,"$16,675,215",48.4%
174,Victor Frankenstein,"$34,227,298","$5,775,076",16.9%,"$28,452,222",83.1%
175,The Witness,"$33,963,557","$418,063",1.2%,"$33,545,494",98.8%
176,Project Almanac,"$33,213,241","$22,348,241",67.3%,"$10,865,000",32.7%
177,Dilwale,"$31,994,323","$4,871,263",15.2%,"$27,123,060",84.8%
178,Suffragette,"$31,972,096","$4,702,420",14.7%,"$27,269,676",85.3%
179,Self/less,"$31,807,156","$12,279,691",38.6%,"$19,527,465",61.4%
180,Saving Mr. Wu,"$31,222,161","$92,696",0.3%,"$31,129,465",99.7%
181,Attack on Titan Part 1,"$30,810,658","$449,523",1.5%,"$30,361,135",98.5%
182,A Man Called Ove,"$30,691,696","$3,479,315",11.3%,"$27,212,381",88.7%
183,Far from the Madding Crowd,"$30,229,977","$12,236,500",40.5%,"$17,993,477",59.5%
184,Mr. Holmes,"$29,355,203","$17,737,646",60.4%,"$11,617,557",39.6%
185,Love & Mercy,"$28,641,776","$12,551,031",43.8%,"$16,090,745",56.2%
186,Flying Colors,"$28,525,563",-,-,"$28,525,563",100%
187,Triumph in the Skies,"$28,085,162",-,-,"$28,085,162",100%
188,The 33,"$27,972,023","$12,227,722",43.7%,"$15,744,301",56.3%
189,Bride Wars,"$27,670,000",-,-,"$27,670,000",100%
190,Irrational Man,"$27,391,084","$4,030,360",14.7%,"$23,360,724",85.3%
191,Detective K: Secret of the Lost Island,"$27,387,870","$185,367",0.7%,"$27,202,503",99.3%
192,To the Fore,"$27,267,799",-,-,"$27,267,799",100%
193,American Ultra,"$27,262,374","$14,440,985",53%,"$12,821,389",47%
194,Orange,"$26,261,536",-,-,"$26,261,536",100%
195,Aloha,"$26,250,020","$21,067,116",80.3%,"$5,182,904",19.7%
196,Huevos: Little Rooster's Egg-cellent Adventure,"$25,892,561","$9,080,818",35.1%,"$16,811,743",64.9%
197,Dügün Dernek 2: Sünnet,"$25,836,668",-,-,"$25,836,668",100%
198,Look Who's Back,"$25,513,752",-,-,"$25,513,752",100%
199,Serial Teachers 2,"$25,364,150",-,-,"$25,364,150",100%
200,Wild City,"$24,817,852","$34,866",0.1%,"$24,782,986",99.9%
201,Capture the Flag,"$24,604,331","$6,690",<0.1%,"$24,597,641",100%
202,Babysitting 2,"$24,563,629",-,-,"$24,563,629",100%
203,The Gunman,"$24,177,137","$10,664,749",44.1%,"$13,512,388",55.9%
204,The Dressmaker,"$23,762,417","$2,022,115",8.5%,"$21,740,302",91.5%
205,Amy,"$23,706,049","$8,413,144",35.5%,"$15,292,905",64.5%
206,Ever Since We Love,"$23,620,000",-,-,"$23,620,000",100%
207,Youth,"$23,469,540","$2,703,296",11.5%,"$20,766,244",88.5%
208,Solace,"$22,354,572",-,-,"$22,354,572",100%
209,Twenty,"$22,271,862","$136,125",0.6%,"$22,135,737",99.4%
210,Fifty Shades of Black,"$22,227,514","$11,686,940",52.6%,"$10,540,574",47.4%
211,Daddy or Mommy,"$21,835,307",-,-,"$21,835,307",100%
212,Black or White,"$21,833,967","$21,571,189",98.8%,"$262,778",1.2%
213,Pokémon the Movie: Hoopa and the Clash of Ages,"$21,815,482",-,-,"$21,815,482",100%
214,Welcome Back,"$21,775,694","$1,388,365",6.4%,"$20,387,329",93.6%
215,It Follows,"$21,729,511","$14,674,076",67.5%,"$7,055,435",32.5%
216,Love Live! The School Idol Movie,"$21,292,009","$115,840",0.5%,"$21,176,169",99.5%
217,Lady of the Dynasty,"$20,778,906",-,-,"$20,778,906",100%
218,The Clan,"$20,381,995","$201,227",1%,"$20,180,768",99%
219,Singh Is Bliing,"$20,224,851","$919,095",4.5%,"$19,305,756",95.5%
220,Ansatsu kyôshitsu,"$20,000,000",-,-,"$20,000,000",100%
221,Brothers,"$19,694,450","$613,775",3.1%,"$19,080,675",96.9%
222,Blackhat,"$19,652,057","$8,005,980",40.7%,"$11,646,077",59.3%
223,Crayon Shin-chan Movie 23: Ora No Hikkoshi Monogatari - Saboten Daisuugeki 2015 Re-release,"$19,461,448",-,-,"$19,461,448",100%
224,The Classified File,"$19,243,890",-,-,"$19,243,890",100%
225,Heroine Disqualified,"$19,161,661",-,-,"$19,161,661",100%
226,Unfair the End,"$18,913,492",-,-,"$18,913,492",100%
227,Girls und Panzer der Film,"$18,596,830",-,-,"$18,596,830",100%
228,Palm Trees in the Snow,"$18,428,235",-,-,"$18,428,235",100%
229,Dope,"$17,986,781","$17,506,470",97.3%,"$480,311",2.7%
230,Dil Dhadakne Do,"$17,870,077","$3,066,100",17.2%,"$14,803,977",82.8%
231,The Accidental Detective 2015 Re-release,"$17,708,027",-,-,"$17,708,027",100%
232,Regression,"$17,671,101","$55,039",0.3%,"$17,616,062",99.7%
233,Kanchana 2,"$17,639,157",-,-,"$17,639,157",100%
234,Neerja,"$17,618,280","$1,585,687",9%,"$16,032,593",91%
235,Little Boy,"$17,572,289","$6,485,961",36.9%,"$11,086,328",63.1%
236,While We're Young,"$17,287,309","$7,587,485",43.9%,"$9,699,824",56.1%
237,I'm Off Then 2015 Re-release,"$17,153,058",-,-,"$17,153,058",100%
238,Dad's Holiday,"$17,000,000",-,-,"$17,000,000",100%
239,Monkey Kingdom,"$16,839,663","$16,432,322",97.6%,"$407,341",2.4%
240,Macbeth,"$16,322,067","$1,110,707",6.8%,"$15,211,360",93.2%
241,Animal Kingdom: Let's go Ape,"$16,294,916",-,-,"$16,294,916",100%
242,Gangnam 1970,"$16,191,434","$18,022",0.1%,"$16,173,412",99.9%
243,Scouts Guide to the Zombie Apocalypse,"$16,137,046","$3,703,046",22.9%,"$12,434,000",77.1%
244,Loucas pra Casar,"$15,918,808",-,-,"$15,918,808",100%
245,The Manny,"$15,772,833",-,-,"$15,772,833",100%
246,The Brand New Testament,"$15,709,652","$127,910",0.8%,"$15,581,742",99.2%
247,"Belle and Sebastian, Friends for Life","$15,632,063",-,-,"$15,632,063",100%
248,Traumfrauen,"$15,599,265",-,-,"$15,599,265",100%
249,The Miracle,"$15,584,520",-,-,"$15,584,520",100%
250,Chronicles of Evil,"$15,460,494","$105,057",0.7%,"$15,355,437",99.3%
251,Our Little Sister,"$15,407,615","$64,441",0.4%,"$15,343,174",99.6%
252,Attack on Titan Part 2,"$15,186,410","$305,934",2%,"$14,880,476",98%
253,Tamasha,"$15,159,762","$2,065,487",13.6%,"$13,094,275",86.4%
254,Nagasaki: Memories of My Son,"$14,484,841",-,-,"$14,484,841",100%
255,Unfinished Business,"$14,431,253","$10,219,501",70.8%,"$4,211,752",29.2%
256,45 Years,"$14,430,249","$4,247,285",29.4%,"$10,182,964",70.6%
257,Do You Believe?,"$14,410,698","$12,985,600",90.1%,"$1,425,098",9.9%
258,Woodlawn,"$14,401,617","$14,394,097",99.9%,"$7,520",<0.1%
259,The Beauty Inside,"$14,301,869","$108,083",0.8%,"$14,193,786",99.2%
260,Srimanthudu,"$14,240,289",-,-,"$14,240,289",100%
261,Shaandaar,"$14,120,808","$521,794",3.7%,"$13,599,014",96.3%
262,Inside Men 2015 Re-release,"$14,037,405",-,-,"$14,037,405",100%
263,Tri bogatyrya: Khod konem,"$13,845,029",-,-,"$13,845,029",100%
264,Phantom,"$13,676,590","$489,984",3.6%,"$13,186,606",96.4%
265,Bakuman.,"$13,612,114",-,-,"$13,612,114",100%
266,Love Forecast,"$13,608,637","$32,211",0.2%,"$13,576,426",99.8%
267,Strange Magic,"$13,603,453","$12,429,583",91.4%,"$1,173,870",8.6%
268,The Last Mission,"$13,597,694",-,-,"$13,597,694",100%
269,Letters to Santa 2,"$13,482,509",-,-,"$13,482,509",100%
270,Hot Tub Time Machine 2,"$13,081,651","$12,314,651",94.1%,"$767,000",5.9%
271,The Vatican Tapes,"$13,015,764","$1,784,763",13.7%,"$11,231,001",86.3%
272,All Creatures Big And Small 2015 Re-release,"$12,989,471",-,-,"$12,989,471",100%
273,Pyaar Ka Punchnama 2,"$12,983,721","$222,856",1.7%,"$12,760,865",98.3%
274,The Wave,"$12,975,143","$177,404",1.4%,"$12,797,739",98.6%
275,Child 44,"$12,951,093","$1,224,330",9.5%,"$11,726,763",90.5%
276,Drishyam 2015 Re-release,"$12,914,193",-,-,"$12,914,193",100%
277,Parasyte: Part 2,"$12,828,929",-,-,"$12,828,929",100%
278,The Green Inferno,"$12,666,449","$7,192,291",56.8%,"$5,474,158",43.2%
279,Heart for Heaven,"$12,435,610",-,-,"$12,435,610",100%
280,The Assassin,"$11,991,669","$632,542",5.3%,"$11,359,127",94.7%
281,The Guardian Brothers,"$11,902,156",-,-,"$11,902,156",100%
282,Roco Kingdom 4: Go! Valley of the Giants,"$11,810,000",-,-,"$11,810,000",100%
283,Ryuzo and the Seven Henchmen,"$11,757,243",-,-,"$11,757,243",100%
284,C'est Si Bon,"$11,750,035","$164,167",1.4%,"$11,585,868",98.6%
285,Off Course,"$11,438,207",-,-,"$11,438,207",100%
286,Trumbo,"$11,430,025","$7,857,741",68.7%,"$3,572,284",31.3%
287,Bajirao Mastani,"$11,350,917","$6,557,047",57.8%,"$4,793,870",42.2%
288,Di san zhong ai qing,"$11,299,163",-,-,"$11,299,163",100%
289,Tomorrow,"$11,277,905","$62,510",0.6%,"$11,215,395",99.4%
290,Rudhramadevi,"$11,229,399",-,-,"$11,229,399",100%
291,The Tiger,"$11,132,086",-,-,"$11,132,086",100%
292,We Are Your Friends,"$11,122,090","$3,591,417",32.3%,"$7,530,673",67.7%
293,The Vanished Murderer,"$11,040,802",-,-,"$11,040,802",100%
294,Samyy luchshiy den!,"$10,903,254",-,-,"$10,903,254",100%
295,Only You,"$10,857,889","$61,565",0.6%,"$10,796,324",99.4%
296,Mr Black: Green Star,"$10,849,131",-,-,"$10,849,131",100%
297,Bis,"$10,846,026",-,-,"$10,846,026",100%
298,Vai que Cola: O Filme,"$10,845,468",-,-,"$10,845,468",100%
299,Danny Collins,"$10,835,752","$5,637,066",52%,"$5,198,686",48%
300,¡Asu Mare! 2,"$10,785,879",-,-,"$10,785,879",100%
301,Shinjuku Swan,"$10,662,923",-,-,"$10,662,923",100%
302,Coin Locker Girl,"$10,582,907",-,-,"$10,582,907",100%
303,The Phone,"$10,551,318","$40,516",0.4%,"$10,510,802",99.6%
304,Até Que a Sorte nos Separe 3: A Falência Final,"$10,502,937",-,-,"$10,502,937",100%
305,I Am Dragon,"$10,495,305",-,-,"$10,495,305",100%
306,Initiation Love,"$10,416,510",-,-,"$10,416,510",100%
307,Galaxy Kaidô,"$10,291,672",-,-,"$10,291,672",100%
308,Crazy New Year's Eve,"$10,280,378",-,-,"$10,280,378",100%
309,Prophecy,"$10,238,535",-,-,"$10,238,535",100%
310,Meu Passado Me Condena 2: O Filme,"$10,198,232",-,-,"$10,198,232",100%
311,Oddball,"$10,089,011",-,-,"$10,089,011",100%
312,A Little Chaos,"$10,084,623","$558,173",5.5%,"$9,526,450",94.5%
313,The Emperor in August,"$10,032,914",-,-,"$10,032,914",100%
314,Mozu the Movie,"$9,998,652",-,-,"$9,998,652",100%
315,Chinaman's Chance: America's Other Slaves,"$9,891,729",-,-,"$9,891,729",100%
316,The Grandmaster 2015 Re-release,"$9,830,000",-,-,"$9,830,000",100%
317,Pleasant Goat and Big Big Wolf: Amazing Pleasant Goat,"$9,830,000",-,-,"$9,830,000",100%
318,All Creatures Big And Small,"$9,794,228",-,-,"$9,794,228",100%
319,One Night Stud,"$9,670,000",-,-,"$9,670,000",100%
320,Parasyte: Part 1,"$9,649,013",-,-,"$9,649,013",100%
321,Star Wars: Episode V - The Empire Strikes Back 2015 Re-release,"$9,593,937",-,-,"$9,593,937",100%
322,Little Big Master,"$9,573,680",-,-,"$9,573,680",100%
323,Ahora o nunca,"$9,425,052",-,-,"$9,425,052",100%
324,Suite Française,"$9,337,930",-,-,"$9,337,930",100%
325,Chibi Maruko-chan: A Boy from Italy,"$9,225,421",-,-,"$9,225,421",100%
326,Cleo,"$9,199,988",-,-,"$9,199,988",100%
327,Soulless 2,"$9,194,350",-,-,"$9,194,350",100%
328,Ostwind 2,"$9,185,676",-,-,"$9,185,676",100%
329,Kwai Boo,"$9,140,000",-,-,"$9,140,000",100%
330,Frau Müller muss weg!,"$9,127,383",-,-,"$9,127,383",100%
331,Me and Earl and the Dying Girl,"$9,074,749","$6,758,416",74.5%,"$2,316,333",25.5%
332,Battle for Sevastopol,"$9,054,676",-,-,"$9,054,676",100%
333,Truman,"$9,027,600","$210,840",2.3%,"$8,816,760",97.7%
334,The Anthem of the Heart,"$8,852,989",-,-,"$8,852,989",100%
335,Marguerite,"$8,754,356","$506,677",5.8%,"$8,247,679",94.2%
336,Husband Factor,"$8,674,655",-,-,"$8,674,655",100%
337,"Connasse, princesse des coeurs","$8,540,288",-,-,"$8,540,288",100%
338,Natale col boss,"$8,528,805",-,-,"$8,528,805",100%
339,Our Brand Is Crisis,"$8,527,658","$7,002,261",82.1%,"$1,525,397",17.9%
340,"Help, I Shrunk My Teacher","$8,477,416",-,-,"$8,477,416",100%
341,Vacanze ai Caraibi,"$8,447,319",-,-,"$8,447,319",100%
342,Tayna Sukharevoy bashni. Charodey ravnovesiya,"$8,442,829",-,-,"$8,442,829",100%
343,The Big Bee,"$8,437,050",-,-,"$8,437,050",100%
344,Mune: Guardian of the Moon,"$8,305,708",-,-,"$8,305,708",100%
