Rank,Release Group,Worldwide,Domestic,%,Foreign,%
113,Magnificent Desolation: Walking on the Moon 3D,"$40,339,402","$34,137,524",84.6%,"$6,201,878",15.4%
114,Otoko-tachi no Yamato,"$39,287,114",-,-,"$39,287,114",100%
115,Dreamer,"$38,741,732","$32,751,093",84.5%,"$5,990,639",15.5%
116,Always: Sunset on Third Street,"$38,573,583",-,-,"$38,573,583",100%
117,The Producers,"$38,075,318","$19,398,532",50.9%,"$18,676,786",49.1%
118,Casanova,"$37,691,644","$11,304,403",30%,"$26,387,241",70%
119,Beauty Shop,"$37,245,453","$36,351,350",97.6%,"$894,103",2.4%
120,Pokémon: Lucario and the Mystery of Mew,"$37,228,626",-,-,"$37,228,626",100%
121,Negotiator: Mashita Masayoshi,"$36,733,286",-,-,"$36,733,286",100%
122,Assault on Precinct 13,"$35,294,470","$20,040,895",56.8%,"$15,253,575",43.2%
123,Nana,"$34,671,042",-,-,"$34,671,042",100%
124,Wild Safari - A South African Adventure,"$34,257,135","$16,621,530",48.5%,"$17,635,605",51.5%
125,Bad News Bears,"$34,252,847","$32,868,349",96%,"$1,384,498",4%
126,Because of Winn-Dixie,"$33,589,427","$32,647,042",97.2%,"$942,385",2.8%
127,The Cave,"$33,296,457","$15,007,991",45.1%,"$18,288,466",54.9%
128,Marathon,"$33,284,089",-,-,"$33,284,089",100%
129,The Brice Man,"$33,026,616",-,-,"$33,026,616",100%
130,Cry Wolf,"$32,586,408","$10,047,674",30.8%,"$22,538,734",69.2%
131,The Suspect: Muroi Shinji,"$32,104,229",-,-,"$32,104,229",100%
132,Marrying the Mafia 2: Enemy-in-Law,"$31,835,989",-,-,"$31,835,989",100%
133,Battle Ground 625,"$31,787,130",-,-,"$31,787,130",100%
134,Rent,"$31,670,620","$29,077,547",91.8%,"$2,593,073",8.2%
135,The New World 2005 Re-release,"$31,510,855","$12,712,093",40.3%,"$18,798,762",59.7%
136,Train Man,"$31,090,100",-,-,"$31,090,100",100%
137,The Promise,"$30,925,693","$669,625",2.2%,"$30,256,068",97.8%
138,Wolf Creek,"$30,762,648","$16,188,180",52.6%,"$14,574,468",47.4%
139,Two for the Money,"$30,526,509","$22,991,379",75.3%,"$7,535,130",24.7%
140,Cursed,"$29,621,722","$19,297,522",65.1%,"$10,324,200",34.9%
141,The Upside of Anger,"$28,237,488","$18,761,993",66.4%,"$9,475,495",33.6%
142,Mrs. Henderson Presents,"$27,876,417","$11,036,366",39.6%,"$16,840,051",60.4%
143,Ice Princess,"$27,645,491","$24,402,491",88.3%,"$3,243,000",11.7%
144,Goal! The Dream Begins,"$27,610,873","$4,283,255",15.5%,"$23,327,618",84.5%
145,The Protector,"$27,165,581","$12,044,087",44.3%,"$15,121,494",55.7%
146,Doogal,"$26,711,924","$7,438,000",27.8%,"$19,273,924",72.2%
147,Typhoon,"$26,179,656","$139,059",0.5%,"$26,040,597",99.5%
148,9th Company,"$26,146,165",-,-,"$26,146,165",100%
149,Natale a Miami,"$25,643,184",-,-,"$25,643,184",100%
150,The Tiger and the Snow,"$25,460,023","$10,167",<0.1%,"$25,449,856",100%
151,North Country,"$25,211,175","$18,337,722",72.7%,"$6,873,453",27.3%
152,April Snow,"$24,873,159",-,-,"$24,873,159",100%
153,I Love You in Every Language in the World,"$23,941,317",-,-,"$23,941,317",100%
154,Lady Vengeance,"$23,834,149","$211,667",0.9%,"$23,622,482",99.1%
155,Russian Dolls,"$23,727,301","$326,095",1.4%,"$23,401,206",98.6%
156,Hustle & Flow,"$23,563,727","$22,202,809",94.2%,"$1,360,918",5.8%
157,Another Public Enemy,"$23,248,003",-,-,"$23,248,003",100%
158,Domino,"$22,944,502","$10,169,202",44.3%,"$12,775,300",55.7%
159,The White Massai,"$22,632,255",-,-,"$22,632,255",100%
160,Manual of Love,"$22,079,820",-,-,"$22,079,820",100%
161,Torrente 3: El protector,"$21,762,391",-,-,"$21,762,391",100%
162,Man of the House,"$21,577,624","$19,699,706",91.3%,"$1,877,918",8.7%
163,Year One in the North,"$21,360,942",-,-,"$21,360,942",100%
164,The Jacket,"$21,126,225","$6,303,762",29.8%,"$14,822,463",70.2%
165,The Devil's Rejects,"$20,901,859","$17,044,981",81.5%,"$3,856,878",18.5%
166,A Moment to Remember,"$20,865,847",-,-,"$20,865,847",100%
167,Lorelei: The Witch of the Pacific Ocean,"$19,806,585",-,-,"$19,806,585",100%
168,The Perfect Man,"$19,770,475","$16,535,005",83.6%,"$3,235,470",16.4%
169,Mapado,"$19,286,223",-,-,"$19,286,223",100%
170,The Weather Man,"$19,126,398","$12,482,775",65.3%,"$6,643,623",34.7%
171,Iznogoud- Caliph Instead of the Caliph,"$18,725,588",-,-,"$18,725,588",100%
172,Detective Conan: Strategy Above the Depths,"$18,723,952",-,-,"$18,723,952",100%
173,Waiting...,"$18,637,690","$16,124,543",86.5%,"$2,513,147",13.5%
174,An Unfinished Life,"$18,618,284","$8,586,392",46.1%,"$10,031,892",53.9%
175,My Father and My Son,"$18,612,999",-,-,"$18,612,999",100%
176,Keeping Mum,"$18,575,768","$1,619,466",8.7%,"$16,956,302",91.3%
177,Turetskiy gambit,"$18,520,000",-,-,"$18,520,000",100%
178,As It Is in Heaven,"$18,318,233",-,-,"$18,318,233",100%
179,The World's Fastest Indian,"$18,297,690","$5,128,124",28%,"$13,169,566",72%
180,Night Watch 2005 Re-release,"$17,939,389","$1,502,188",8.4%,"$16,437,201",91.6%
181,Joyeux Noel,"$17,709,155","$1,054,361",6%,"$16,654,794",94%
182,You Are My Sunshine,"$17,650,142",-,-,"$17,650,142",100%
183,Palais royal!,"$17,612,135",-,-,"$17,612,135",100%
184,Roll Bounce,"$17,500,866","$17,380,866",99.3%,"$120,000",0.7%
185,Rebound,"$17,492,014","$16,809,014",96.1%,"$683,000",3.9%
186,Stormy Night,"$17,379,776",-,-,"$17,379,776",100%
187,The Matador,"$17,347,231","$12,594,698",72.6%,"$4,752,533",27.4%
188,Aegis,"$16,869,261",-,-,"$16,869,261",100%
189,Caché,"$16,197,824","$3,647,381",22.5%,"$12,550,443",77.5%
190,The Great Yokai War,"$15,787,492",-,-,"$15,787,492",100%
191,Kiss Kiss Bang Bang,"$15,785,148","$4,243,756",26.9%,"$11,541,392",73.1%
192,The Gospel,"$15,778,152","$15,778,152",100%,-,-
193,Two Sons of Francisco,"$15,508,288",-,-,"$15,508,288",100%
194,The Greatest Game Ever Played,"$15,431,177","$15,337,393",99.4%,"$93,784",0.6%
195,Transamerica,"$15,151,744","$9,015,303",59.5%,"$6,136,441",40.5%
196,"Murder, Take One","$14,915,208",-,-,"$14,915,208",100%
197,Most Beautiful Week in My Life,"$14,765,033",-,-,"$14,765,033",100%
198,Samurai Commando Mission 1549,"$14,648,713",-,-,"$14,648,713",100%
199,Blood Rain,"$14,270,938",-,-,"$14,270,938",100%
200,Proof,"$14,189,860","$7,535,331",53.1%,"$6,654,529",46.9%
201,Magic Carpet Ride,"$14,188,490",-,-,"$14,188,490",100%
202,Art of Seduction,"$14,152,879",-,-,"$14,152,879",100%
203,When Romance Meets Destiny,"$14,049,623",-,-,"$14,049,623",100%
204,Barefoot,"$14,000,000",-,-,"$14,000,000",100%
205,The Chaos Class in the Military,"$13,761,506",-,-,"$13,761,506",100%
206,The Man,"$13,485,145","$8,330,720",61.8%,"$5,154,425",38.2%
207,Innocent Steps,"$13,419,977",-,-,"$13,419,977",100%
208,Lords of Dogtown,"$13,411,957","$11,273,517",84.1%,"$2,138,440",15.9%
209,The Honeymooners,"$13,183,426","$12,843,849",97.4%,"$339,577",2.6%
210,Le Sauvage,"$13,161,770",-,-,"$13,161,770",100%
211,Tokyo Tower,"$13,021,664",-,-,"$13,021,664",100%
212,Espace détente,"$12,859,369",-,-,"$12,859,369",100%
213,Aliens of the Deep,"$12,770,637","$8,968,684",70.2%,"$3,801,953",29.8%
214,One Missed Call 2,"$12,334,036",-,-,"$12,334,036",100%
215,My Big Fat Independent Movie,"$12,155,249","$4,655",<0.1%,"$12,150,594",100%
216,The Three Burials of Melquiades Estrada,"$12,045,362","$5,027,684",41.7%,"$7,017,678",58.3%
217,Shinobi: Heart Under Blade,"$11,987,868",-,-,"$11,987,868",100%
218,The Polar Express 2005 IMAX Release,"$11,910,480","$10,900,597",91.5%,"$1,009,883",8.5%
219,Empire of the Wolves,"$11,875,866",-,-,"$11,875,866",100%
220,Millions,"$11,782,282","$6,584,159",55.9%,"$5,198,123",44.1%
221,Sirens in the Aegean,"$11,680,950",-,-,"$11,680,950",100%
222,Shopgirl,"$11,675,161","$10,284,523",88.1%,"$1,390,638",11.9%
223,A Sound of Thunder,"$11,665,465","$1,900,451",16.3%,"$9,765,014",83.7%
224,The Squid and the Whale,"$11,098,131","$7,372,734",66.4%,"$3,725,397",33.6%
225,Tout pour plaire,"$11,026,871",-,-,"$11,026,871",100%
226,Rules of Dating,"$11,016,544",-,-,"$11,016,544",100%
227,The Beat That My Heart Skipped,"$10,988,397","$1,023,424",9.3%,"$9,964,973",90.7%
228,The Libertine,"$10,852,064","$4,835,065",44.6%,"$6,016,999",55.4%
229,She's on Duty,"$10,826,936",-,-,"$10,826,936",100%
230,Sophie Scholl: The Final Days,"$10,804,315","$680,331",6.3%,"$10,123,984",93.7%
231,Initial D,"$10,793,051",-,-,"$10,793,051",100%
232,The Great Raid,"$10,769,311","$10,167,373",94.4%,"$601,938",5.6%
233,Sky Fighters,"$10,720,864",-,-,"$10,720,864",100%
234,Saint-Jacques... La Mecque,"$10,638,650",-,-,"$10,638,650",100%
235,One Piece: Baron Omatsuri and the Secret Island,"$10,494,545",-,-,"$10,494,545",100%
236,Alone in the Dark,"$10,442,808","$5,178,569",49.6%,"$5,264,239",50.4%
237,In the Mix,"$10,223,896","$10,223,896",100%,-,-
238,Naruto the Movie 2: Legend of the Stone of Gelel,"$10,198,805",-,-,"$10,198,805",100%
239,Fullmetal Alchemist the Movie: Conqueror of Shamballa,"$10,197,984",-,-,"$10,197,984",100%
240,The Ice Harvest,"$10,156,968","$9,016,782",88.8%,"$1,140,186",11.2%
241,A Bittersweet Life,"$10,080,094",-,-,"$10,080,094",100%
242,Crying Fist,"$10,024,751",-,-,"$10,024,751",100%
243,Angel-A,"$9,995,168","$202,647",2%,"$9,792,521",98%
244,Kinky Boots,"$9,950,133","$1,822,428",18.3%,"$8,127,705",81.7%
245,The Samurai I Loved,"$9,910,280",-,-,"$9,910,280",100%
246,Tsotsi,"$9,891,303","$2,912,606",29.4%,"$6,978,697",70.6%
247,Snowy Love Fall in Spring,"$9,690,906",-,-,"$9,690,906",100%
248,The Little Polar Bear 2: The Mysterious Island,"$9,612,667",-,-,"$9,612,667",100%
249,Private,"$9,595,697","$15,811",0.2%,"$9,579,886",99.8%
250,Touch,"$9,439,192",-,-,"$9,439,192",100%
251,The 2 Sides of the Bed,"$9,398,647",-,-,"$9,398,647",100%
252,Salaam Namaste,"$9,289,939","$1,413,283",15.2%,"$7,876,656",84.8%
253,By the Pricking of My Thumbs,"$9,170,231",-,-,"$9,170,231",100%
254,Mad Hot Ballroom,"$9,079,042","$8,117,961",89.4%,"$961,081",10.6%
255,A Bold Family,"$8,828,738",-,-,"$8,828,738",100%
256,The Beast and the Beauty,"$8,666,859",-,-,"$8,666,859",100%
257,Boudu,"$8,568,040",-,-,"$8,568,040",100%
258,Die Wilden Kerle 2,"$8,499,237",-,-,"$8,499,237",100%
259,My Brother's Wife,"$8,492,178","$2,808,241",33.1%,"$5,683,937",66.9%
260,Stay,"$8,483,797","$3,626,883",42.8%,"$4,856,914",57.2%
261,Princesas,"$8,446,185","$29,472",0.3%,"$8,416,713",99.7%
262,Go for Zucker,"$8,394,115","$87,490",1%,"$8,306,625",99%
263,Siegfried,"$8,349,626",-,-,"$8,349,626",100%
264,Mangal Pandey: The Rising,"$8,142,076","$954,108",11.7%,"$7,187,968",88.3%
265,Boy s tenyu,"$8,120,875",-,-,"$8,120,875",100%
266,Romanzo Criminale,"$8,024,739",-,-,"$8,024,739",100%
267,Me and You and Everyone We Know,"$8,012,838","$3,885,134",48.5%,"$4,127,704",51.5%
268,The Red Shoes,"$7,853,740",-,-,"$7,853,740",100%
269,Felix - Ein Hase auf Weltreise,"$7,821,859",-,-,"$7,821,859",100%
270,The State Counsellor,"$7,726,507",-,-,"$7,726,507",100%
271,Rockman. EXE: The Program of Light and Darkness,"$7,606,778",-,-,"$7,606,778",100%
272,My Boyfriend Is Type-B,"$7,538,404",-,-,"$7,538,404",100%
273,Creep,"$7,480,424",-,-,"$7,480,424",100%
274,Melissa P.,"$7,450,832",-,-,"$7,450,832",100%
275,Eiga Futari wa Purikyua Max Heart,"$7,414,820",-,-,"$7,414,820",100%
276,Karol: A Man Who Became Pope,"$7,367,476",-,-,"$7,367,476",100%
277,Mobile Suit Z Gundam: A New Translation - Heirs to the Stars,"$7,313,197",-,-,"$7,313,197",100%
278,Sad Movie,"$7,034,164",-,-,"$7,034,164",100%
279,Innocent Voices,"$7,015,131","$837,878",11.9%,"$6,177,253",88.1%
280,A Christmoose Carol,"$6,960,028",-,-,"$6,960,028",100%
281,A Good Woman,"$6,878,433","$238,609",3.5%,"$6,639,824",96.5%
282,Bee Season,"$6,856,989","$1,180,560",17.2%,"$5,676,429",82.8%
283,Love in Magic,"$6,830,664",-,-,"$6,830,664",100%
284,The Aristocrats,"$6,809,089","$6,377,461",93.7%,"$431,628",6.3%
285,How Much Do You Love Me?,"$6,771,085",-,-,"$6,771,085",100%
286,Revolver,"$6,727,187",-,-,"$6,727,187",100%
287,Fragile,"$6,680,926",-,-,"$6,680,926",100%
288,The Myth,"$6,669,097",-,-,"$6,669,097",100%
289,Velvet Revolution,"$6,630,285",-,-,"$6,630,285",100%
290,The Dark,"$6,593,579",-,-,"$6,593,579",100%
291,Cracked Eggs and Noodles,"$6,562,975",-,-,"$6,562,975",100%
292,Lassie,"$6,442,854","$652,163",10.1%,"$5,790,691",89.9%
293,The Secret Life of Words,"$6,410,058","$20,678",0.3%,"$6,389,380",99.7%
294,Heaven's Soldiers,"$6,407,161",-,-,"$6,407,161",100%
295,Mr. Socrates,"$6,380,429",-,-,"$6,380,429",100%
296,El penalti más largo del mundo,"$6,378,562",-,-,"$6,378,562",100%
297,The Chorus 2005 Re-release,"$6,353,810","$1,548,036",24.4%,"$4,805,774",75.6%
298,A Heartful of Love,"$6,351,644",-,-,"$6,351,644",100%
299,Duelist,"$6,324,945",-,-,"$6,324,945",100%
300,Anthony Zimmer,"$6,306,533",-,-,"$6,306,533",100%
301,The Men at That Time,"$6,277,998",-,-,"$6,277,998",100%
302,Happily Ever After,"$6,204,504","$252,379",4.1%,"$5,952,125",95.9%
303,Wet Dreams 2,"$6,155,013",-,-,"$6,155,013",100%
304,L'ex-femme de ma vie,"$6,138,673",-,-,"$6,138,673",100%
305,"Hello, Brother","$6,045,108",-,-,"$6,045,108",100%
306,Il ne faut jurer... de rien!,"$6,019,125",-,-,"$6,019,125",100%
307,Don't Tell,"$5,923,415","$29,015",0.5%,"$5,894,400",99.5%
308,Underclassman,"$5,879,555","$5,655,459",96.2%,"$224,096",3.8%
309,"One Stays, the Other Leaves","$5,817,038",-,-,"$5,817,038",100%
310,7 Virgins,"$5,676,195",-,-,"$5,676,195",100%
311,Il était une fois dans l'oued,"$5,611,887",-,-,"$5,611,887",100%
312,Antarctic Journal,"$5,568,811",-,-,"$5,568,811",100%
313,Deewane Huye Paagal,"$5,544,538","$364,357",6.6%,"$5,180,181",93.4%
314,The Child,"$5,507,396","$651,941",11.8%,"$4,855,455",88.2%
315,Peter Pan 2: Return to Never Land 2005 Re-release,"$5,259,299",-,-,"$5,259,299",100%
316,L'antidote,"$5,194,913",-,-,"$5,194,913",100%
317,Never to Lose,"$5,129,751",-,-,"$5,129,751",100%
318,NVA,"$5,128,614",-,-,"$5,128,614",100%
319,Pettson & Findus - Tomtemaskinen,"$5,115,606",-,-,"$5,115,606",100%
320,Princess Aurora,"$5,081,114",-,-,"$5,081,114",100%
321,What the #$*! Do We (K)now!? 2005 Re-release,"$5,055,872",-,-,"$5,055,872",100%
322,The Proposition,"$5,048,693","$1,903,434",37.7%,"$3,145,259",62.3%
323,To Paint or Make Love,"$4,934,181",-,-,"$4,934,181",100%
324,The Ax,"$4,885,946",-,-,"$4,885,946",100%
325,Into Great Silence,"$4,857,107","$790,452",16.3%,"$4,066,655",83.7%
326,Enron: The Smartest Guys in the Room,"$4,854,164","$4,071,700",83.9%,"$782,464",16.1%
327,Water,"$4,842,898","$2,250,329",46.5%,"$2,592,569",53.5%
328,About the Looking for and the Finding of Love,"$4,794,490",-,-,"$4,794,490",100%
329,Lee Dae-ro Can't Die,"$4,736,013",-,-,"$4,736,013",100%
330,Robbery Alla Turca,"$4,676,537",-,-,"$4,676,537",100%
331,Don't Come Knocking,"$4,663,501","$440,793",9.5%,"$4,222,708",90.5%
332,Chousei Kantai Sazer-X the Movie: Fight! Star Warriors,"$4,662,385",-,-,"$4,662,385",100%
333,Rize,"$4,646,889","$3,336,391",71.8%,"$1,310,498",28.2%
334,La seconda notte di nozze,"$4,393,579",-,-,"$4,393,579",100%
335,Mama Jack,"$4,357,657",-,-,"$4,357,657",100%
336,Les parrains,"$4,334,480",-,-,"$4,334,480",100%
337,Olé!,"$4,305,130",-,-,"$4,305,130",100%
338,Lovelorn,"$4,292,734",-,-,"$4,292,734",100%
339,Blind Man's Bluff,"$4,180,000",-,-,"$4,180,000",100%
340,Hide and Seek 2005 Re-release,"$4,165,061",-,-,"$4,165,061",100%
341,King's Ransom,"$4,143,652","$4,008,527",96.7%,"$135,125",3.3%
342,Edison,"$4,143,414",-,-,"$4,143,414",100%
343,Talk to Her 2005 Re-release,"$4,136,160",-,-,"$4,136,160",100%
344,The Miracle of the Gifted Quarter: Since It Is the Truth,"$4,133,788",-,-,"$4,133,788",100%
345,The White Countess,"$4,092,682","$1,669,971",40.8%,"$2,422,711",59.2%
346,Ubume no natsu,"$4,066,218",-,-,"$4,066,218",100%
